app_id,name,security_level,app_type,required_access_level,network_segment,is_cloud_based,data_classification,total_access_attempts
APP-0001,Email System,high,desktop,3,secure_segment_3,True,restricted,8
APP-0002,File Share,medium,web,2,general_segment_5,True,internal,7
APP-0003,CRM Platform,medium,web,2,general_segment_3,False,internal,7
APP-0004,HR Portal,low,cloud,1,general_segment_4,True,public,11
APP-0005,Financial System,critical,web,4,secure_segment_3,False,confidential,3
APP-0006,Project Management,high,web,3,secure_segment_3,True,restricted,3
APP-0007,Code Repository,low,desktop,1,general_segment_2,True,public,7
APP-0008,Customer Database,low,cloud,1,general_segment_3,True,public,6
APP-0009,Analytics Dashboard,medium,mobile,2,general_segment_5,False,internal,7
APP-0010,Video Conferencing,medium,desktop,2,general_segment_2,False,internal,13
