app_id,name,security_level,app_type,required_access_level,network_segment,is_cloud_based,data_classification,total_access_attempts
APP-0001,Email System,high,cloud,3,secure_segment_1,True,restricted,9
APP-0002,File Share,critical,web,4,secure_segment_2,True,confidential,32
APP-0003,CRM Platform,medium,mobile,2,general_segment_1,True,internal,9
APP-0004,HR Portal,low,cloud,1,general_segment_3,False,public,14
APP-0005,Financial System,critical,mobile,4,secure_segment_2,False,confidential,8
APP-0006,Project Management,medium,desktop,2,general_segment_4,True,internal,8
APP-0007,Code Repository,critical,desktop,4,secure_segment_3,True,confidential,8
APP-0008,Customer Database,medium,web,2,general_segment_4,False,internal,13
APP-0009,Analytics Dashboard,critical,desktop,4,secure_segment_3,True,confidential,32
APP-0010,Video Conferencing,high,desktop,3,secure_segment_1,True,restricted,5
