breach_type,timestamp,attacker_id,target,prevented,prevention_method,victim_id,attacker_device,insider_id,device_id
lateral_movement,2025-12-05 22:58:53.007800,USER-0025,Code Repository,True,"['Micro-segmentation', 'Access control policies']",,,,
credential_theft,2025-12-05 22:58:53.007808,,,True,"['MFA requirement', 'Device trust validation']",USER-0043,DEV-0011,,
insider_threat,2025-12-05 22:58:53.007825,,Analytics Dashboard,True,"['Role-based access control', 'Least privilege principle']",,,USER-0038,
device_compromise,2025-12-05 22:58:53.007845,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0027
privilege_escalation,2025-12-05 22:58:53.007855,USER-0037,Financial System,True,"['Access level enforcement', 'Continuous authorization']",,,,
lateral_movement,2025-12-05 22:58:53.007875,USER-0039,Project Management,False,[],,,,
credential_theft,2025-12-05 22:58:53.007880,,,True,"['MFA requirement', 'Device trust validation']",USER-0013,DEV-0059,,
insider_threat,2025-12-05 22:58:53.007896,,Code Repository,True,['Authentication failure'],,,USER-0037,
device_compromise,2025-12-05 22:58:53.007903,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0037
privilege_escalation,2025-12-05 22:58:53.007920,USER-0037,File Share,True,"['Access level enforcement', 'Continuous authorization']",,,,
lateral_movement,2025-12-05 22:58:53.007938,USER-0018,Customer Database,False,[],,,,
credential_theft,2025-12-05 22:58:53.007942,,,True,"['MFA requirement', 'Device trust validation']",USER-0012,DEV-0053,,
insider_threat,2025-12-05 22:58:53.007951,,Financial System,True,"['Role-based access control', 'Least privilege principle']",,,USER-0024,
device_compromise,2025-12-05 22:58:53.007968,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0054
privilege_escalation,2025-12-05 22:58:53.007976,USER-0024,Analytics Dashboard,True,"['Access level enforcement', 'Continuous authorization']",,,,
lateral_movement,2025-12-05 22:58:53.007993,USER-0017,Video Conferencing,True,"['Micro-segmentation', 'Access control policies']",,,,
credential_theft,2025-12-05 22:58:53.007997,,,False,[],USER-0006,DEV-0049,,
insider_threat,2025-12-05 22:58:53.008005,,Email System,True,"['Role-based access control', 'Least privilege principle']",,,USER-0024,
device_compromise,2025-12-05 22:58:53.008022,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0066
privilege_escalation,2025-12-05 22:58:53.008040,USER-0039,Financial System,True,"['Access level enforcement', 'Continuous authorization']",,,,
lateral_movement,2025-12-05 22:58:53.008065,USER-0019,HR Portal,False,[],,,,
credential_theft,2025-12-05 22:58:53.008069,,,True,"['MFA requirement', 'Device trust validation']",USER-0044,DEV-0009,,
insider_threat,2025-12-05 22:58:53.008078,,Video Conferencing,True,"['Role-based access control', 'Least privilege principle']",,,USER-0044,
device_compromise,2025-12-05 22:58:53.008104,,,True,"['Device posture validation', 'Trust score enforcement']",,,,DEV-0020
privilege_escalation,2025-12-05 22:58:53.008125,USER-0018,Email System,True,"['Access level enforcement', 'Continuous authorization']",,,,
