device_id,device_type,owner_id,os_version,trust_score,is_compliant,security_posture,location,is_managed,days_since_patch,incident_count
DEV-0001,tablet,USER-0016,Android 13,58,False,fair,remote,True,49,0
DEV-0002,desktop,USER-0025,iOS 16,48,False,poor,remote,True,0,1
DEV-0003,laptop,USER-0010,iOS 16,100,True,good,remote,True,65,0
DEV-0004,tablet,USER-0026,Ubuntu 22.04,52,True,good,remote,True,0,0
DEV-0005,laptop,USER-0027,macOS 12,100,True,good,unknown,False,5,0
DEV-0006,mobile,USER-0042,Ubuntu 22.04,28,False,poor,remote,True,0,1
DEV-0007,laptop,USER-0036,macOS 12,100,True,good,unknown,True,63,0
DEV-0008,tablet,USER-0043,Windows 11,42,False,poor,office,True,0,1
DEV-0009,mobile,USER-0007,Windows 10,43,False,fair,unknown,True,50,0
DEV-0010,laptop,USER-0039,Windows 10,66,False,fair,office,True,1,0
DEV-0011,tablet,USER-0033,Android 13,22,False,poor,unknown,True,36,1
DEV-0012,desktop,USER-0021,Android 13,18,False,fair,unknown,True,0,1
DEV-0013,desktop,USER-0026,macOS 12,0,False,poor,office,True,0,1
DEV-0014,laptop,USER-0037,Ubuntu 22.04,39,False,fair,office,True,3,0
DEV-0015,laptop,USER-0010,macOS 12,84,False,fair,office,True,69,0
DEV-0016,desktop,USER-0018,macOS 13,95,True,good,unknown,True,47,0
DEV-0017,mobile,USER-0020,macOS 12,12,False,poor,remote,True,0,1
DEV-0018,tablet,USER-0049,Windows 11,32,False,fair,remote,True,0,1
DEV-0019,mobile,USER-0009,Windows 11,36,False,poor,remote,True,76,1
DEV-0020,tablet,USER-0003,macOS 12,0,False,poor,unknown,True,43,1
DEV-0021,desktop,USER-0005,Android 13,89,True,good,office,True,8,0
DEV-0022,mobile,USER-0046,Android 13,20,False,poor,remote,True,33,1
DEV-0023,laptop,USER-0031,Windows 10,27,False,fair,unknown,True,0,1
DEV-0024,desktop,USER-0008,Windows 11,35,False,fair,office,True,53,0
DEV-0025,desktop,USER-0044,Android 13,100,True,excellent,unknown,True,6,0
DEV-0026,mobile,USER-0011,macOS 13,38,False,poor,unknown,True,0,1
DEV-0027,mobile,USER-0040,macOS 12,54,False,fair,remote,False,0,1
DEV-0028,mobile,USER-0031,Windows 11,55,True,excellent,office,False,0,0
DEV-0029,mobile,USER-0012,Windows 10,55,False,fair,unknown,True,27,0
DEV-0030,desktop,USER-0007,Android 13,100,True,good,remote,True,45,0
DEV-0031,mobile,USER-0006,iOS 16,49,False,poor,unknown,True,0,1
DEV-0032,mobile,USER-0050,Android 13,12,False,poor,office,True,14,1
DEV-0033,tablet,USER-0025,Windows 10,51,False,poor,office,False,0,1
DEV-0034,laptop,USER-0047,Windows 11,30,False,poor,remote,True,0,1
DEV-0035,laptop,USER-0014,iOS 16,21,False,poor,unknown,True,0,1
DEV-0036,laptop,USER-0044,Windows 11,95,True,good,office,True,39,0
DEV-0037,mobile,USER-0019,iOS 16,48,False,fair,unknown,True,77,0
DEV-0038,desktop,USER-0027,macOS 13,94,True,good,office,True,58,0
DEV-0039,tablet,USER-0016,macOS 13,61,False,fair,unknown,True,0,0
DEV-0040,laptop,USER-0036,Windows 11,90,False,fair,remote,True,37,0
DEV-0041,laptop,USER-0033,macOS 13,28,False,fair,unknown,False,0,1
DEV-0042,laptop,USER-0026,Ubuntu 22.04,71,True,good,unknown,False,77,0
DEV-0043,desktop,USER-0049,Windows 11,80,False,fair,remote,True,0,0
DEV-0044,tablet,USER-0016,iOS 16,47,False,poor,remote,False,0,1
DEV-0045,desktop,USER-0013,Windows 10,62,False,poor,unknown,False,0,0
DEV-0046,laptop,USER-0020,iOS 16,84,False,fair,unknown,True,78,0
DEV-0047,desktop,USER-0009,Android 13,0,False,fair,unknown,True,19,1
DEV-0048,desktop,USER-0019,Windows 11,49,False,fair,office,True,0,0
DEV-0049,tablet,USER-0046,Windows 10,47,False,fair,unknown,True,0,0
DEV-0050,tablet,USER-0024,Android 13,100,True,good,unknown,True,88,0
DEV-0051,desktop,USER-0011,Android 13,21,False,poor,unknown,True,0,1
DEV-0052,laptop,USER-0003,Ubuntu 22.04,88,True,good,unknown,False,62,0
DEV-0053,desktop,USER-0033,iOS 16,63,False,poor,unknown,True,17,1
DEV-0054,mobile,USER-0012,Android 13,54,False,poor,unknown,True,36,1
DEV-0055,tablet,USER-0038,Windows 11,16,False,poor,unknown,True,0,1
DEV-0056,tablet,USER-0005,Android 13,68,False,fair,office,False,83,0
DEV-0057,mobile,USER-0018,macOS 13,92,True,excellent,office,False,47,0
DEV-0058,mobile,USER-0009,Windows 10,46,False,poor,remote,True,0,1
DEV-0059,laptop,USER-0009,macOS 13,82,True,good,remote,True,0,0
DEV-0060,desktop,USER-0010,iOS 16,77,False,fair,remote,True,63,0
DEV-0061,mobile,USER-0026,Windows 11,31,False,poor,unknown,False,89,1
DEV-0062,mobile,USER-0020,iOS 16,91,True,good,office,False,60,0
DEV-0063,desktop,USER-0036,Ubuntu 22.04,96,True,good,office,True,40,0
DEV-0064,desktop,USER-0005,macOS 13,18,False,poor,remote,False,12,1
DEV-0065,mobile,USER-0020,macOS 12,33,False,fair,unknown,False,0,1
DEV-0066,desktop,USER-0048,iOS 16,10,False,poor,remote,True,73,1
DEV-0067,laptop,USER-0007,iOS 16,89,True,good,remote,True,70,0
DEV-0068,tablet,USER-0004,macOS 13,53,False,fair,office,True,0,1
DEV-0069,tablet,USER-0012,macOS 12,0,False,fair,office,True,0,1
DEV-0070,tablet,USER-0009,Ubuntu 22.04,0,False,poor,unknown,True,4,1
DEV-0071,laptop,USER-0019,iOS 16,45,False,fair,remote,False,0,1
DEV-0072,mobile,USER-0018,macOS 12,43,False,poor,office,True,44,1
DEV-0073,desktop,USER-0011,macOS 13,0,False,poor,unknown,False,0,1
DEV-0074,mobile,USER-0007,iOS 16,20,False,poor,office,True,48,1
DEV-0075,desktop,USER-0035,macOS 12,31,False,poor,unknown,True,0,1
